                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93188,                  3.436,                 3.6507,                 1.3097,                0.18926,                0.28567,                0.19109,                0.14234,                0.19335,                0.28795,                0.19638,                0.12747,                0.87408,                 1.5577,                 3.3465,                 1.6259,                0.07038,              0.0032911,              0.0032911
                      1,                0.68296,                 2.4694,                 2.4152,                 1.1386,                0.38581,                0.37282,                0.37722,                0.27007,                 0.3275,                0.34058,                0.34687,                0.18947,                0.99156,                 2.8283,                 2.8134,                 1.7965,               0.040358,              0.0066026,              0.0066026
                      2,                0.73141,                  2.308,                 2.1402,                 1.1456,                0.43664,                0.39253,                0.36247,                0.21631,                0.38727,                0.37754,                0.31386,                0.18005,                 1.1426,                 2.8989,                 2.6005,                 2.0299,               0.010314,              0.0098921,              0.0098921
                      3,                0.79622,                 2.4672,                 2.0469,                 1.1875,                0.44193,                0.58716,                0.53829,                0.33573,                0.42013,                0.59265,                0.51986,                0.31888,                 1.3008,                 1.9241,                 2.2383,                 2.1201,               0.009901,               0.009901,               0.009901
                      4,                0.79146,                 2.3016,                 1.9083,                 1.1777,                0.40288,                0.46551,                0.47367,                0.24699,                 0.2832,                0.52279,                0.43957,                0.24885,                 1.5942,                 2.7957,                 2.1829,                 2.7617,               0.009901,               0.009901,               0.009901
                      5,                0.80794,                 2.3338,                 1.8397,                 1.1897,                0.35081,                0.51817,                0.42483,                0.21822,                0.22048,                0.47406,                0.35307,                0.17641,                 1.4764,                 3.8612,                 2.4176,                 2.6326,               0.009868,               0.009868,               0.009868
                      6,                0.78721,                  2.253,                 1.7696,                 1.1671,                0.39858,                0.47293,                 0.4703,                0.27284,                0.43524,                0.49422,                0.51713,                0.28894,                  1.341,                 1.7377,                 2.0942,                 2.1588,               0.009835,               0.009835,               0.009835
                      7,                0.78367,                 2.2224,                 1.7305,                 1.1734,                0.59098,                0.55547,                0.48579,                0.30975,                0.58707,                0.53342,                 0.4581,                0.27149,                 1.1978,                 2.0016,                 2.0628,                  1.985,               0.009802,               0.009802,               0.009802
                      8,                0.76665,                 2.1416,                 1.6558,                 1.1581,                0.60738,                0.55144,                0.53527,                0.30726,                 0.5395,                0.57492,                0.55912,                0.35018,                 1.2283,                 1.5134,                 2.0683,                   2.14,               0.009769,               0.009769,               0.009769
                      9,                0.73827,                 2.1163,                 1.5885,                 1.1342,                0.71232,                  0.456,                 0.5644,                0.32463,                0.55931,                 0.5086,                 0.5694,                0.32803,                 1.4028,                 1.7031,                 1.9084,                   2.24,               0.009736,               0.009736,               0.009736
                     10,                0.73635,                 2.0959,                 1.5925,                 1.1311,                0.54729,                0.60302,                0.66416,                0.42139,                0.56061,                0.61467,                0.65478,                0.41682,                 1.2598,                  1.382,                 1.6188,                 1.9793,               0.009703,               0.009703,               0.009703
