                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0111,                 3.5838,                 2.7023,                 1.3772,                0.39558,                0.15908,                0.13223,                0.08489,                0.41668,                0.04943,                0.04139,                0.01371,                 1.1051,                 2.0285,                  2.648,                  1.897,                0.07038,              0.0032911,              0.0032911
                      1,                0.78054,                 2.4761,                 1.7639,                 1.2297,                0.55394,                0.27035,                0.28647,                0.16402,                0.51723,                0.19773,                0.22909,                0.10246,                 1.3273,                 1.8883,                 2.5299,                   2.19,               0.040358,              0.0066026,              0.0066026
                      2,                0.82365,                 2.3881,                 1.7248,                 1.2477,                 0.3331,                0.15803,                0.14686,                 0.0602,                 0.2644,                0.02917,                0.04733,                0.01946,                 1.7423,                 2.1548,                 2.7308,                 2.4929,               0.010314,              0.0098921,              0.0098921
                      3,                0.89484,                 2.4502,                 1.7309,                 1.2911,                0.32862,                0.16352,                0.13072,                0.05133,                0.27938,                0.12334,                0.11011,                0.04582,                 2.1952,                 2.0703,                 2.9939,                 3.1099,               0.009901,               0.009901,               0.009901
                      4,                0.91714,                 2.4592,                  1.689,                 1.2941,                0.19726,                0.24456,                0.18751,                0.07624,                0.17383,                0.10062,                0.13727,                0.04101,                 1.7972,                 2.8222,                  3.092,                 3.0274,               0.009901,               0.009901,               0.009901
                      5,                0.95878,                 2.4864,                 1.7018,                 1.3222,                 0.2966,                0.28478,                0.20535,                0.09287,                0.28436,                0.21955,                0.15164,                0.06094,                 1.8275,                  2.079,                 2.9903,                 2.9199,               0.009868,               0.009868,               0.009868
                      6,                0.92726,                 2.3517,                 1.6348,                 1.2997,                0.26498,                0.50342,                0.31953,                0.13816,                0.25818,                0.35377,                0.29314,                0.12386,                 1.6871,                 1.7239,                 2.6015,                 2.6153,               0.009835,               0.009835,               0.009835
                      7,                0.92141,                 2.3803,                 1.5946,                 1.2902,                 0.3251,                0.34267,                 0.2909,                0.15845,                0.26498,                  0.278,                0.20852,                0.10879,                 1.6355,                 2.0748,                 2.0816,                 2.6823,               0.009802,               0.009802,               0.009802
                      8,                0.90525,                 2.3083,                 1.5399,                 1.2885,                0.50734,                 0.4007,                0.34355,                0.19001,                0.48549,                0.35118,                0.30028,                0.14837,                 1.5828,                 1.8473,                 2.2552,                 2.6539,               0.009769,               0.009769,               0.009769
                      9,                0.89398,                 2.3382,                 1.5362,                 1.2714,                0.32617,                0.46457,                0.37259,                0.18399,                0.27671,                0.41206,                0.28774,                0.14284,                 1.8215,                 1.8226,                 1.8897,                 2.6231,               0.009736,               0.009736,               0.009736
                     10,                0.86908,                 2.2918,                 1.5114,                 1.2634,                0.36663,                0.50725,                 0.4429,                 0.2661,                0.34985,                0.44796,                0.38254,                0.22824,                 1.3873,                 1.5262,                 2.1543,                 2.2744,               0.009703,               0.009703,               0.009703
                     11,                0.86492,                  2.244,                 1.4884,                 1.2646,                0.45059,                0.36571,                0.44884,                0.22279,                0.25617,                0.38972,                0.38443,                 0.1977,                 1.2796,                 1.3103,                 1.7766,                 2.1775,                0.00967,                0.00967,                0.00967
                     12,                0.86448,                 2.2391,                 1.4453,                 1.2579,                0.44475,                0.46877,                0.40263,                0.20715,                0.43233,                0.44878,                 0.3929,                 0.2214,                 1.3852,                 1.3063,                 1.9296,                 2.2542,               0.009637,               0.009637,               0.009637
                     13,                0.84503,                  2.218,                 1.4458,                 1.2392,                0.32429,                0.47847,                0.46296,                0.26328,                0.26251,                0.40105,                0.39969,                0.22465,                 1.4049,                 1.2033,                 1.7054,                  2.256,               0.009604,               0.009604,               0.009604
                     14,                0.85289,                 2.1624,                 1.4442,                 1.2535,                0.24748,                0.50981,                0.30623,                0.17461,                 0.2328,                0.46395,                0.26103,                0.14625,                 1.4264,                 1.2443,                 1.9944,                 2.2293,               0.009571,               0.009571,               0.009571
                     15,                0.86547,                 2.1743,                 1.4442,                 1.2664,                0.38467,                0.44823,                 0.4204,                0.24002,                0.34942,                0.37564,                0.37065,                0.18703,                 1.4274,                  1.217,                 1.8979,                 2.3609,               0.009538,               0.009538,               0.009538
